NORRISTOWN OFFICE,"529 Foundry Rd,Norristown,PA",1.HQ,PA OFFICE,Todd Higginbotton,PA-000-00000,","
SALEM HQ,"12 Industrial Way,Salem,NH",1.HQ,HOME BASE,Tony Miller,NH-000-00000,","
Advance Auto Parts-240249,"9924 Knockando Ln,Huntersville,NC",2.EVCI,EA_Cycle 3,Joe Ouellette,NC-277-23004,","
PREIT Dartmouth Mall-210121,"200 N. Dartmouth Mall Rd,Dartmouth,MA",2.EVCI,EA_Cycle 2,Joe Ouellette,MA-262-20007,","
Simon Merrimack PO-240074,"80 Premium Outlet Blvd,Merrimack,NH",2.EVCI,EA_Cycle 3,Josephsantos,NH-277-22001,","
Simon Premium Outlets-210196,"8 W Lightcap Rd,Pottstown,PA",2.EVCI,EA_Cycle 2,Joe Ouellette,PA-262-19002,","
4BO3117A_Walpole MA,"533 HIGH PLAIN STREET,Walpole,MA",3.Telecom-Tower,RF Equipment Install-Bottom Side,Josephsantos,MA-110-22004,","
SPRINGFIELD 6_FUZE#16649456,"1 State Street,Ludlow,MA",3.Telecom-Tower,VZW_AWS,paulkean,MA-403-22014,","
453219_BED Chambersburg VZW Integration.,"925 Wayne Ave,Chambersburg ,PA",4.Telecom-DAS,Samsung,ToddHigginbottom,PA-135-22002,","
453778_POT FIRST QUALITY TISSUE 4G SNAP,"904 Woods Ave,Lock Haven,PA",4.Telecom-DAS,Samsung,ToddHigginbottom,PA-135-22003,","
"Anthem-Wallingford, CT_SpiderCloud_End-User Relocated","108 Leigus Rd,Wallingford,CT",4.Telecom-DAS,VZW_NPMO,dougsanderson,CT-411-23001,","
AT&T Add to Existing DAS at Wegmans Northborough,"9120 Shops Way,Northborough,MA",4.Telecom-DAS,DAS,dougsanderson,MA-061-23007,","
Logan Airport_Terminal E Expansion,"395 Maverick St,Boston,MA",4.Telecom-DAS,DAS,dougsanderson,MA-061-23011,","
mRBS Swap to MBO & SBO Waterville Valley,"1 Ski Area Road,Waterville Valley,NH",4.Telecom-DAS,DAS,dougsanderson,NH-061-23003,","
"Vertex - Demo & Replace Building B, Floor 4","50 Northern Ave,Boston,MA",4.Telecom-DAS,Enterprise DAS,dougsanderson,MA-125-23012,","
Virtua Memorial SNAP Phase 1,"175 Madison Ave.,Mount Holly,NJ",4.Telecom-DAS,VZW_DAS,ToddHigginbottom,NJ-401-23003,","
Virtua Voorhees SNAP Phase 1,"145 Route 73,Vorhees,NJ",4.Telecom-DAS,VZW_DAS,ToddHigginbottom,NJ-401-23007,","
Yale University_100 College Ave,"100 College Ave,New Haven,CT",4.Telecom-DAS,VZW_DAS,dougsanderson,CT-401-23004,","
Yale University_300 George St.,"300 George St.,New Haven,CT",4.Telecom-DAS,VZW_DAS,dougsanderson,CT-401-23005,","
